"AirtableName","AirtableParent","Action","Confidence","ClosestSalesforceAccount","ItsParentInSalesforce","AlreadyMatchedTo","WhyThisCandidate","Note","BlocksOpportunities","BlocksPartnerAccounts","BlocksApplications","BlocksContacts","BlocksMeetings","TotalBlocked","MarketSegment","DecisionPleaseFillIn","AirtableRecordId"
"Department of Treasury","","Same name already taken","High","Department of Treasury","(none)","Department of Treasury","Same name, different punctuation or abbreviation","The Salesforce Account is already matched to the Airtable row 'Department of Treasury'. If that is the same organisation, merge these two Airtable rows. If this is a genuinely different office, it needs its own Salesforce Account.","5","1","0","22","47","75","Finance & Regulation","","rect95509iqngs2LI"
"Bureau of Consular Affairs","Department of State","Check the candidate","Possible","Consular Affairs","Under Secretary for Management","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","2","1","5","5","1","14","Defense","","recGWTR7qF40UsPoY"
"Centers for Medicare and Medicaid Services","Department of Health and Human Services","Same name already taken","High","Centers for Medicare & Medicaid Services","Department of Health and Human Services","Centers for Medicare & Medicaid Services","Same name, different punctuation or abbreviation","The Salesforce Account is already matched to the Airtable row 'Centers for Medicare & Medicaid Services'. If that is the same organisation, merge these two Airtable rows. If this is a genuinely different office, it needs its own Salesforce Account.","2","0","0","0","3","5","Benefits","","recMBHcYi2o0dHlAx"
"United States Postal Service","","Same name already taken","High","U.S. Postal Service","(none)","U.S. Postal Service","Same name, different punctuation or abbreviation","The Salesforce Account is already matched to the Airtable row 'U.S. Postal Service'. If that is the same organisation, merge these two Airtable rows. If this is a genuinely different office, it needs its own Salesforce Account.","0","0","0","0","3","3","Infrastructure","","recEjoXoTTNICzoyF"
"Council of Inspectors General on Integrity and Efficiency","","Align the names","High","Council of the Inspectors General on Integrity and Efficiency","(none)","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","1","0","0","0","1","2","Finance & Regulation","","rec64zJHV14ujjf5o"
"Office of Public Affairs","Department of Justice","Check the candidate","Possible","Office of Public Affairs - DOE","Department of Energy","","86% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","2","0","0","0","0","2","Defense","","recD7ZWwPrge1YIKA"
"The Executive Office of the President","","Same name already taken","High","Executive Office of the President","(none)","Executive Office of the President","Same name, different punctuation or abbreviation","The Salesforce Account is already matched to the Airtable row 'Executive Office of the President'. If that is the same organisation, merge these two Airtable rows. If this is a genuinely different office, it needs its own Salesforce Account.","2","0","0","0","0","2","Infrastructure","","rec08GXIp2rdepQDz"
"United States Army Corps of Engineers","Army","Align the names","High","U.S. Army Corps of Engineers","Department of the Army","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","1","0","0","0","1","2","Defense","","rec40ebzztQhmUwcd"
"United States Citizenship and Immigration Services","Department of Homeland Security","Same name already taken","High","U.S. Citizenship And Immigration Services","Department of Homeland Security","U.S. Citizenship And Immigration Services","Same name, different punctuation or abbreviation","The Salesforce Account is already matched to the Airtable row 'U.S. Citizenship And Immigration Services'. If that is the same organisation, merge these two Airtable rows. If this is a genuinely different office, it needs its own Salesforce Account.","2","0","0","0","0","2","Defense","","rec6kZuuwdrGkMC28"
"United States Customs and Border Protection","Department of Homeland Security","Align the names","High","U.S. Customs And Border Protection","Department of Homeland Security","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","0","0","0","0","2","2","Defense","","recdu9AHlJdoyfb98"
